MPI Processes,Nodes,Processes per Node,OpenMP Threads per process,Floating Point Ops,Distribution Time,SpMV Time,SpMV with Reduction Time,Total Time, ,Best Distribution Time,Best SpMV Time,Best SpMV with Reduction Time,Best Total Time,Best GFlops,,Worst Distribution Time,Worst SpMV Time,Worst SpMV with Reduction Time,Worst Total Time,Worst GFlops, ,Avg Distribution Time,Avg SpMV Time,Avg SpMV with Reduction Time,Avg Total Time,Avg GFlops
MPI Processes,Nodes,Processes per Node,OpenMP Threads per process,Floating Point Ops,Distribution Time,SpMV Time,SpMV with Reduction Time,Total Time, ,Best Distribution Time,Best SpMV Time,Best SpMV with Reduction Time,Best Total Time,Best GFlops,,Worst Distribution Time,Worst SpMV Time,Worst SpMV with Reduction Time,Worst Total Time,Worst GFlops, ,Avg Distribution Time,Avg SpMV Time,Avg SpMV with Reduction Time,Avg Total Time,Avg GFlops
64, ,1,0,8516500,3.98805,0.000295,0.003878,5.00053, ,3.82739,0.000283,0.003603,5.00053,4.727644, ,3.98805,0.000304,0.004,5.00053,4.258221, ,3.862839,0.000293,0.003811,4.875043,4.469038
 , , , , ,3.8468,0.000298,0.003796,4.8582, , , , , , , , , , , , , , , , , ,
 , , , , ,3.83543,0.000283,0.003836,4.84828, , , , , , , , , , , , , , , , , ,
 , , , , ,3.82739,0.0003,0.003826,4.84013, , , , , , , , , , , , , , , , , ,
 , , , , ,3.82954,0.000284,0.003915,4.84184, , , , , , , , , , , , , , , , , ,
 , , , , ,3.87285,0.000294,0.003946,4.88617, , , , , , , , , , , , , , , , , ,
 , , , , ,3.85113,0.00029,0.003753,4.86301, , , , , , , , , , , , , , , , , ,
 , , , , ,3.86302,0.00029,0.003603,4.87491, , , , , , , , , , , , , , , , , ,
 , , , , ,3.87969,0.000295,0.003981,4.89113, , , , , , , , , , , , , , , , , ,
 , , , , ,3.8649,0.000304,0.003761,4.87814, , , , , , , , , , , , , , , , , ,
 , , , , ,3.8536,0.000294,0.003755,4.86536, , , , , , , , , , , , , , , , , ,
 , , , , ,3.87907,0.00029,0.003723,4.89248, , , , , , , , , , , , , , , , , ,
 , , , , ,3.82765,0.000294,0.0038,4.83885, , , , , , , , , , , , , , , , , ,
 , , , , ,3.89328,0.000296,0.00382,4.90339, , , , , , , , , , , , , , , , , ,
 , , , , ,3.88374,0.000285,0.003782,4.89601, , , , , , , , , , , , , , , , , ,
 , , , , ,3.84704,0.000284,0.003773,4.85971, , , , , , , , , , , , , , , , , ,
 , , , , ,3.82829,0.000296,0.003855,4.83989, , , , , , , , , , , , , , , , , ,
 , , , , ,3.83446,0.000304,0.004,4.84602, , , , , , , , , , , , , , , , , ,
 , , , , ,3.83851,0.000288,0.003794,4.85124, , , , , , , , , , , , , , , , , ,
