v0,v1,v2,v3,v4,v5,v6,v7,v8,v9
1,1,3.092021,3.530952,3.375903,2.798434,2.350992,1.614691,2.531426,2.046172
2,4,3.496006,4.062463,4.078911,3.478,3.050453,1.965056,4.222795,3.49713
3,9,3.611696,4.192721,4.486282,3.840408,3.347765,2.122633,5.854415,4.874193
4,16,3.735076,4.341251,4.759694,3.959129,3.571886,2.164138,7.344969,6.097463
5,25,3.795102,4.521501,4.861642,4.073333,3.69009,2.207261,8.30086,7.007589
6,36,3.752812,4.470666,4.857877,4.246803,3.817124,2.355324,9.754218,7.913654
7,49,4.033535,4.845984,4.916623,4.255986,3.90588,2.320052,10.509923,8.589899
8,64,3.936181,4.800522,4.890227,4.369438,4.05766,2.310013,11.552418,9.033253
