v0,v1,v2,v3,v4,v5,v6,v7,v8,v9
1,1,4.243208,3.140145,5.472678,4.899327,3.560335,2.946804,4.097032,2.120051
2,4,4.252036,3.089461,6.019662,5.299434,4.222657,3.634606,6.678848,3.915758
3,9,4.169169,3.087155,6.125786,5.156162,4.434453,3.808189,9.136988,4.87253
4,16,4.218603,3.100606,5.678356,5.368426,4.627314,3.855478,11.093555,5.836437
5,25,4.088702,3.044117,6.152562,5.383226,4.673378,4.109485,12.859423,6.698916
6,36,4.103239,3.115651,5.815597,5.773354,4.679538,4.312788,14.557709,8.046618
7,49,4.170603,3.039705,5.878114,5.32103,4.871889,4.263177,14.384862,8.023496
8,64,4.204197,3.101674,6.16015,5.508942,5.060796,4.230172,4.139378,7.995625
