,,human_gene1_expanded
0.0201402,,14.5565
0.018659025,,
,,
,,
0.0201302,,15.5361
0.014931,,15.6384
0.0192509,,14.5784
0.0174739,,14.5259
0.0246003,,14.9028
0.0155964,,14.8054
0.0170176,,14.5039
0.0173385,,14.5985
0.0237918,,14.823
0.019834,,15.2377
0.0147836,,14.8196
0.0190461,,14.5262
0.0201445,,14.5457
0.0184426,,14.5096
0.0142076,,14.7952
0.0170822,,14.9224
0.0143235,,14.9835
0.0199037,,14.7078
0.0176623,,14.7788
0.0242722,,14.8351
0.018491645,,
,,
,,
0.0143185,,14.5164
0.0171154,,14.4365
0.018739,,14.5454
0.0194025,,14.8612
0.0153034,,14.6934
0.0187135,,14.6233
0.0175948,,14.5059
0.0137486,,14.4934
0.0184813,,14.6113
0.0170054,,14.509
0.0193624,,14.5504
0.01667,,14.7331
0.0171738,,14.6387
0.025001,,14.8779
0.0180109,,14.5283
0.0153394,,14.9616
0.017287,,14.9112
0.0175023,,14.5125
0.0230606,,14.8648
0.0136998,,14.5244
0.01767648,,
,,
,,
0.0164418,,14.8659
0.0172331,,14.5603
0.0148737,,14.8077
0.015384,,14.6861
0.0180666,,14.646
0.0181842,,14.5017
0.0144916,,14.9054
0.0186841,,15.193
0.0167689,,14.4978
0.0174003,,15.001
0.0149083,,14.7991
0.0169294,,14.6207
0.0169258,,14.4914
0.0143354,,14.8608
0.0175309,,14.7367
0.0180078,,14.5564
0.0144832,,14.5205
0.0149858,,14.954
0.0175261,,14.7064
0.0168581,,14.9739
0.016500955,,
